Mineral Name	reference to the mineral
10BD3 Dark4+	Reitze et al., 2021, Mid-infrared spectroscopy of anorthosite samples from near Manicouagan Crater, Canada, as analogue for remote sensing of Mercury and other terrestrial solar system objects, J Geophys Res, 126, e2021JE006832, https://doi.org/10.1029/2021JE006832
Apollo 15401,147	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
Tagish Lake	Morlok et al. (2020) Planetary and Space Science 193, 105078.
Murchison PL 89414	Bischoff et a., 2021, The old, unique C1 chondrite Flensburg â€“ Insight into the first processes of aqueous alteration, brecciation, and the diversity of water-bearing parent bodies and lithologies, https://doi.org/10.1016/j.gca.2020.10.014.
NC Pep	Morlok et al.(2017) Icarus 123-138.
San Carlos Olivine	Weber et al. EPSL 530, 115884
Allende	Morlok et al. (2020) Planetary and Space Science 193, 105078.
Oligoclase	Reitze et al., 2021, Mid-infrared spectroscopy of crystalline plagioclase feldspar samples with various Al,Si order and implications for remote sensing of Mercury and other terrestrial Solar System objects, Earth Planet Sci Lett, 554, 116697, https://doi.org/10.1016/j.epsl.2020.116697
Basalt891 A3 Block	Morlok et al.(2020) Icarus 335, 113410 (10.1016/j.icarus.2019.113410).
G2 Char2	Morlok et al.(2017) Icarus 123-138.
San Carlos Olivine	Weber et al. EPSL 530, 115884
Mars BS	Morlok et al., Icarus 324, 86-103.
Basalt891 A3 Block	Morlok et al.(2020) Icarus 335, 113410 (10.1016/j.icarus.2019.113410).
PD vdK	Morlok et al.(2017) Icarus 123-138.
Allende	Morlok et al.(2020) Planetary and Space Science 193, 105078.
MixEnstatite53 Olivine135 15%-85%	Weber et al., EPSL 569, 117072.
Flensburg PL19171	Bischoff et a., 2021, The old, unique C1 chondrite Flensburg â€“ Insight into the first processes of aqueous alteration, brecciation, and the diversity of water-bearing parent bodies and lithologies, https://doi.org/10.1016/j.gca.2020.10.014.
Apollo 62231,55	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
Apollo 61220,41	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
Diopside	Reitze et al., 2021, Mid-infrared spectroscopy of anorthosite samples from near Manicouagan Crater, Canada, as analogue for remote sensing of Mercury and other terrestrial solar system objects, J Geophys Res, 126, e2021JE006832, https://doi.org/10.1029/2021JE006832
AubritePBS90244-18	Morlok et al.(2020) Meteoritics & Space Science 55, 2080-2096.
G1 Char1	Morlok et al.(2017) Icarus 296, 123-138.
Apollo 14163,135	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
CB vdK	Morlok et al.(2017) Icarus 123-138.
PD vdK	Morlok et al.(2017) Icarus 296, 123-138.
Earth BS	Morlok et al., Icarus 324, 86-103.
Labradorite	Reitze et al., 2021, Mid-infrared spectroscopy of crystalline plagioclase feldspar samples with various Al,Si order and implications for remote sensing of Mercury and other terrestrial Solar System objects, Earth Planet Sci Lett, 554, 116697, https://doi.org/10.1016/j.epsl.2020.116697
Apollo 62231,55	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
AubritePBS90244-12	Morlok et al.(2020) Meteoritics & Space Science 55, 2080-2096.
10BD3 Dark3	Reitze et al., 2021, Mid-infrared spectroscopy of anorthosite samples from near Manicouagan Crater, Canada, as analogue for remote sensing of Mercury and other terrestrial solar system objects, J Geophys Res, 126, e2021JE006832, https://doi.org/10.1029/2021JE006832
10 BD3 Fsp	Reitze et al., 2021, Mid-infrared spectroscopy of anorthosite samples from near Manicouagan Crater, Canada, as analogue for remote sensing of Mercury and other terrestrial solar system objects, J Geophys Res, 126, e2021JE006832, https://doi.org/10.1029/2021JE006832
Apollo 15101,319	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
G2 Char2	Morlok et al.(2017) Icarus 123-138.
Andesine	Reitze et al., 2021, Mid-infrared spectroscopy of crystalline plagioclase feldspar samples with various Al,Si order and implications for remote sensing of Mercury and other terrestrial Solar System objects, Earth Planet Sci Lett, 554, 116697, https://doi.org/10.1016/j.epsl.2020.116697
Chelyabinsk Melt	Morlok et al.(2017) Icarus 284, 431-442.
Apollo 61220,41	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
PD vdK	Morlok et al.(2017) Icarus 123-138.
Allende	Morlok et al.(2020) Planetary and Space Science 193, 105078.
10 BD5	Reitze et al., 2021, Mid-infrared spectroscopy of anorthosite samples from near Manicouagan Crater, Canada, as analogue for remote sensing of Mercury and other terrestrial solar system objects, J Geophys Res, 126, e2021JE006832, https://doi.org/10.1029/2021JE006832
Allende	Morlok et al. (2020) Planetary and Space Science 193, 105078.
10BD2	Reitze et al., 2021, Mid-infrared spectroscopy of anorthosite samples from near Manicouagan Crater, Canada, as analogue for remote sensing of Mercury and other terrestrial solar system objects, J Geophys Res, 126, e2021JE006832, https://doi.org/10.1029/2021JE006832
Apollo 14163,135	Martin, D. (2018). IR spectroscopy of planetary regolith analogues, lunar meteorites, and Apollo soils. University of Manchester.
